name,pos,team,year,rk,mlb_id
Chris Carter,1B/3B,ATHLETICS,2009,76,452080
Jonathon Niese,LHP,METS,2009,77,477003
Reid Brignac,SS,RAYS,2009,78,458582
Jeff Samardzija,RHP,CUBS,2009,79,502188
Desmond Jennings,OF,RAYS,2009,80,457775
Brett Lawrie,C/3B,BREWERS,2009,81,543434
Adam Miller,RHP,INDIANS,2009,82,449089
Michael Bowden,RHP,RED SOX,2009,83,476601
Max Ramirez,C,RANGERS,2009,84,445615
Kyle Skipworth,C,MARLINS,2009,85,543788
Martin Perez,LHP,RANGERS,2009,86,527048
Freddie Freeman,1B,BRAVES,2009,87,518692
Gerardo Parra,OF,DIAMONDBACKS,2009,88,467827
Carlos Triunfel,SS/2B,MARINERS,2009,89,508892
Daniel Cortes,RHP,ROYALS,2009,90,451135
Chris Perez,RHP,CARDINALS,2009,91,453198
Andrew Brackman,RHP,YANKEES,2009,92,457581
Phillippe Aumont,RHP,MARINERS,2009,93,518418
Brad Holt,RHP,METS,2009,94,475747
Christian Friedrich,LHP,ROCKIES,2009,95,543184
Sean West,LHP,MARLINS,2009,96,476811
Gio Gonzalez,LHP,ATHLETICS,2009,97,461829
Daniel Bard,RHP,RED SOX,2009,98,453268
Tyler Flowers,C,WHITE SOX,2009,99,452095
Jeremy Jeffress,RHP,BREWERS,2009,100,502026
Jay Bruce,OF,REDS,2008,1,457803
Evan Longoria,3B,RAYS,2008,2,446334
Joba Chamberlain,RHP,YANKEES,2008,3,501955
Clay Buchholz,RHP,RED SOX,2008,4,453329
Colby Rasmus,OF,CARDINALS,2008,5,458675
Cameron Maybin,OF,MARLINS,2008,6,457727
Clayton Kershaw,LHP,DODGERS,2008,7,477132
Franklin Morales,LHP,ROCKIES,2008,8,462985
Homer Bailey,RHP,REDS,2008,9,456701
David Price,LHP,RAYS,2008,10,456034
Travis Snider,OF,BLUE JAYS,2008,11,501983
Matt Wieters,C,ORIOLES,2008,12,446308
Jacoby Ellsbury,OF,RED SOX,2008,13,453056
Andrew Mccutchen,OF,PIRATES,2008,14,457705
Jake Mcgee,LHP,RAYS,2008,15,459429
Brandon Wood,3B/SS,ANGELS,2008,16,457420
Wade Davis,RHP,RAYS,2008,17,451584
Mike Moustakas,SS,ROYALS,2008,18,519058
Elvis Andrus,SS,RANGERS,2008,19,462101
Fernando Martinez,OF,METS,2008,20,494686
Rick Porcello,RHP,TIGERS,2008,21,519144
Carlos Gonzalez,OF,ATHLETICS,2008,22,471865
Matt Laporta,OF,BREWERS,2008,23,453181
Nick Adenhart,RHP,ANGELS,2008,24,444440
Jordan Schafer,OF,BRAVES,2008,25,457788
Gio Gonzalez,LHP,ATHLETICS,2008,26,461829
Chris Marrero,1B/OF,NATIONALS,2008,27,502029
Jason Heyward,OF,BRAVES,2008,28,518792
Adam Miller,RHP,INDIANS,2008,29,449089
Kosuke Fukudome,OF,CUBS,2008,30,493120
Andy Laroche,3B,DODGERS,2008,31,451188
Chase Headley,3B/OF,PADRES,2008,32,452104
Angel Villalona,3B/1B,GIANTS,2008,33,505830
Johnny Cueto,RHP,REDS,2008,34,456501
Deolis Guerra,RHP,TWINS,2008,35,500610
Brett Anderson,LHP,ATHLETICS,2008,36,474463
Jose Tabata,OF,YANKEES,2008,37,467798
Ian Stewart,3B,ROCKIES,2008,38,456655
Reid Brignac,SS,RAYS,2008,39,458582
Lars Anderson,1B,REDS SOX,2008,40,502249
Austin Jackson,OF,YANKEES,2008,41,457706
Jeff Clement,C,MARINERS,2008,42,459943
Josh Vitters,3B,CUBS,2008,43,519388
Joey Votto,1B,REDS,2008,44,458015
Ian Kennedy,RHP,YANKEES,2008,45,453178
Jarrod Parker,RHP,DIAMONDBACKS,2008,46,519105
Geovany Soto,C,CUBS,2008,47,434567
Daric Barton,1B,ATHLETICS,2008,48,435558
Jair Jurrjens,RHP,BRAVES,2008,49,457453
Matt Antonelli,2B,PADRES,2008,50,453327
Ross Detwiler,LHP,NATIONALS,2008,51,446321
Carlos Gomez,OF,TWINS,2008,52,460576
J.R. Towles,C,ASTROS,2008,53,453525
Carlos Carrasco,RHP,PHILLIES,2008,54,471911
Chin-Lung Hu,SS,DODGERS,2008,55,464341
Nick Blackburn,RHP,TWINS,2008,56,448147
Daniel Cortes,RHP,ROYALS,2008,57,451135
Chris Volstad,RHP,MARLINS,2008,58,458690
Desmond Jennings,OF,RAYS,2008,59,457775
Fautino De Los Santos,RHP,ATHLETICS,2008,60,501745
Neil Walker,3B,PIRATES,2008,61,435522
Carlos Triunfel,SS,MARINERS,2008,62,508892
Luke Hochevar,RHP,ROYALS,2008,63,460024
Justin Masterson,RHP,RED SOX,2008,64,475416
Chris Davis,3B/1B,RANGERS,2008,65,448801
Max Scherzer,RHP,DIAMONDBACKS,2008,66,453286
Chris Tillman,RHP,ORIOLES,2008,67,501957
Brett Sinkbeil,RHP,MARLINS,2008,68,446213
Radhames Liz,RHP,ORIOLES,2008,69,467785
Brandon Jones,OF,BRAVES,2008,70,447761
Chuck Lofgren,LHP,INDIANS,2008,71,455111
Manny Parra,LHP,BREWERS,2008,72,448159
Jed Lowrie,SS,RED SOX,2008,73,476704
Dexter Fowler,OF,ROCKIES,2008,74,451594
Tyler Colvin,OF,CUBS,2008,75,502125
Adrian Cardenas,2B,PHILLIES,2008,76,502133
Eric Hurley,RHP,RANGERS,2008,77,457922
Troy Patton,LHP,ORIOLES,2008,78,461856
Hank Conger,C,ANGELS,2008,79,474233
Taylor Teagarden,C,RANGERS,2008,80,460003
Jordan Walden,RHP,ANGELS,2008,81,477229
Sean Gallagher,RHP,CUBS,2008,82,451595
Phillippe Aumont,RHP,MARINERS,2008,83,518418
Tim Alderson,RHP,GIANTS,2008,84,518396
Bryan Anderson,C,CARDINALS,2008,85,457762
Collin Balester,RHP,NATIONALS,2008,86,444446
Beau Mills,3B/1B,INDIANS,2008,87,460699
Scott Elbert,LHP,DODGERS,2008,88,455092
Steve Pearce,1B/OF,PIRATES,2008,89,456665
Joe Savery,LHP,PHILLIES,2008,90,456045
Nolan Reimold,OF,ORIOLES,2008,91,460099
Gorkys Hernandez,OF,BRAVES,2008,92,491676
Neftali Feliz,RHP,RANGERS,2008,93,491703
Michael Bowden,RHP,RED SOX,2008,94,476601
Hector Gomez,SS,ROCKIES,2008,95,467143
Ryan Kalish,OF,RED SOX,2008,96,501888
Chris Perez,RHP,CARDINALS,2008,97,453198
Greg Reynolds,RHP,ROCKIES,2008,98,453353
Jeff Niemann,RHP,RAYS,2008,99,435298
Drew Stubbs,OF,REDS,2008,100,453211
Daisuke Matsuzaka,rhp,Red Sox,2007,1,493137
Alex Gordon,3b,Royals,2007,2,460086
Delmon Young,of,Devil Rays,2007,3,430321
Philip Hughes,rhp,Yankees,2007,4,461833
Homer Bailey,rhp,Reds,2007,5,456701
Cameron Maybin,of,Tigers,2007,6,457727
Evan Longoria,3b,Devil Rays,2007,7,446334
Brandon Wood,ss,Angels,2007,8,457420
Justin Upton,of,Diamondbacks,2007,9,457708
Andrew Miller,lhp,Tigers,2007,10,453192
Tim Lincecum,rhp,Giants,2007,11,453311
Chris Young,of,Diamondbacks,2007,12,432934
Andrew Mccutchen,of,Pirates,2007,13,457705
Jay Bruce,of,Reds,2007,14,457803
Troy Tulowitzki,ss,Rockies,2007,15,453064
Yovani Gallardo,rhp,Brewers,2007,16,451596
Reid Brignac,ss,Devil Rays,2007,17,458582
Carlos Gonzalez,of,Diamondbacks,2007,18,471865
Andy Laroche,3b,Dodgers,2007,19,451188
Mike Pelfrey,rhp,Mets,2007,20,460059
Matt Garza,rhp,Twins,2007,21,490063
Fernando Martinez,of,Mets,2007,22,494686
Adam Miller,rhp,Indians,2007,23,449089
Clayton Kershaw,lhp,Dodgers,2007,24,477132
Billy Butler,of,Royals,2007,25,456714
Ryan Braun,3b,Brewers,2007,26,460075
Jose Tabata,of,Yankees,2007,27,467798
Adam Jones,of,Mariners,2007,28,430945
Colby Rasmus,of,Cardinals,2007,29,458675
Franklin Morales,lhp,Rockies,2007,30,462985
Scott Elbert,lhp,Dodgers,2007,31,455092
Luke Hochevar,rhp,Royals,2007,32,460024
Jacoby Ellsbury,of,Red Sox,2007,33,453056
Nick Adenhart,rhp,Angels,2007,34,444440
Jeff Niemann,rhp,Devil Rays,2007,35,435298
Jarrod Saltalamacchia,c,Braves,2007,36,457454
Jacob Mcgee,lhp,Devil Rays,2007,37,459429
Hunter Pence,of,Astros,2007,38,452254
Adam Lind,of,Blue Jays,2007,39,452252
Chris Volstad,rhp,Marlins,2007,40,458690
Carlos Carrasco,rhp,Phillies,2007,41,471911
Jason Hirsh,rhp,Rockies,2007,42,444865
Joey Votto,1b,Reds,2007,43,458015
James Loney,1b,Dodgers,2007,44,425766
Josh Fields,3b,White Sox,2007,45,435222
Ian Stewart,3b,Rockies,2007,46,456655
Bill Rowell,3b,Orioles,2007,47,475728
Dexter Fowler,of,Rockies,2007,48,451594
Felix Pie,of,Cubs,2007,49,429712
Travis Buck,of,Athletics,2007,50,459941
Clay Buchholz,rhp,Red Sox,2007,51,453329
Donald Veal,lhp,Cubs,2007,52,453264
Travis Snider,of,Blue Jays,2007,53,501983
Chuck Lofgren,lhp,Indians,2007,54,455111
Ryan Sweeney,of,White Sox,2007,55,435220
John Danks,lhp,White Sox,2007,56,433579
Humberto Sanchez,rhp,Yankees,2007,57,458008
Troy Patton,lhp,Astros,2007,58,461856
Jonathan Sanchez,lhp,Giants,2007,59,456043
Carlos Gomez,of,Mets,2007,60,460576
Erick Aybar,ss,Angels,2007,61,430947
Jeff Clement,c,Mariners,2007,62,459943
Miguel Montero,c,Diamondbacks,2007,63,471083
Trevor Crowe,of,Indians,2007,64,460067
Elvis Andrus,ss,Braves,2007,65,462101
Glen Perkins,lhp,Twins,2007,66,450282
Daric Barton,1b,Athletics,2007,67,435558
Eric Hurley,rhp,Rangers,2007,68,457922
Brad Lincoln,rhp,Pirates,2007,69,453184
Jaime Garcia,lhp,Cardinals,2007,70,448802
Kevin Slowey,rhp,Twins,2007,71,458713
Gio Gonzalez,lhp,White Sox,2007,72,461829
Philip Humber,rhp,Mets,2007,73,458950
Neil Walker,3b,Pirates,2007,74,435522
Joba Chamberlain,rhp,Yankees,2007,75,501955
Greg Reynolds,rhp,Rockies,2007,76,453353
Brett Sinkbeil,rhp,Marlins,2007,77,446213
Brandon Erbe,rhp,Orioles,2007,78,476258
Elijah Dukes,of,Devil Rays,2007,79,452668
Jeff Samardzija,rhp,Cubs,2007,80,502188
Daniel Bard,rhp,Red Sox,2007,81,453268
Alberto Callaspo,2b,Diamondbacks,2007,82,430948
Michael Bowden,rhp,Red Sox,2007,83,476601
Ubaldo Jimenez,rhp,Rockies,2007,84,434622
Matt Albers,rhp,Astros,2007,85,458006
Brian Barton,of,Indians,2007,86,446382
Brandon Morrow,rhp,Mariners,2007,87,453344
Drew Stubbs,of,Reds,2007,88,453211
Kurt Suzuki,c,Athletics,2007,89,435559
Matt Harrison,lhp,Braves,2007,90,457448
Will Inman,rhp,Brewers,2007,91,488989
Chris Iannetta,c,Rockies,2007,92,455104
Brent Lillibridge,ss,Braves,2007,93,452121
Chris Parmelee,of/1b,Twins,2007,94,476633
Collin Balester,rhp,Nationals,2007,95,444446
Sean West,lhp,Marlins,2007,96,476811
Wade Davis,rhp,Devil Rays,2007,97,451584
Micah Owings,rhp,Diamondbacks,2007,98,452249
Pedro Beato,rhp,Orioles,2007,99,474039
Dellin Betances,rhp,Yankees,2007,100,476454
Delmon Young,of,Devil Rays,2006,1,430321
Justin Upton,ss,Diamondbacks,2006,2,457708
Brandon Wood,ss,Angels,2006,3,457420
Jeremy Hermida,of,Marlins,2006,4,435181
Stephen Drew,ss,Diamondbacks,2006,5,452220
Francisco Liriano,lhp,Twins,2006,6,434538
Chad Billingsley,rhp,Dodgers,2006,7,451532
Justin Verlander,rhp,Tigers,2006,8,434378
Lastings Milledge,of,Mets,2006,9,451186
Matt Cain,rhp,Giants,2006,10,430912
Prince Fielder,1b,Brewers,2006,11,425902
Howie Kendrick,2b,Angels,2006,12,435062
Alex Gordon,3b,Royals,2006,13,460086
Andy Marte,3b,Indians,2006,14,429708
Ryan Zimmerman,3b,Nationals,2006,15,475582
Ian Stewart,3b,Rockies,2006,16,456655
Conor Jackson,1b,Diamondbacks,2006,17,433582
Jarrod Saltalamacchia,c,Braves,2006,18,457454
Andy Laroche,3b,Dodgers,2006,19,451188
Carlos Quentin,of,Diamondbacks,2006,20,435041
Nick Markakis,of,Orioles,2006,21,455976
Jon Lester,lhp,Red Sox,2006,22,452657
Chris Young,of,Diamondbacks,2006,23,432934
Bobby Jenks,rhp,White Sox,2006,24,408057
Troy Tulowitzki,ss,Rockies,2006,25,453064
Joel Guzman,ss/3b,Dodgers,2006,26,433591
Felix Pie,of,Cubs,2006,27,429712
Daric Barton,1b,Athletics,2006,28,435558
Billy Butler,of,Royals,2006,29,456714
Hanley Ramirez,ss,Marlins,2006,30,434670
Cameron Maybin,of,Tigers,2006,31,457727
Carlos Gonzales,of,Diamondbacks,2006,32,471865
Jeff Clement,c,Mariners,2006,33,459943
Scott Olsen,lhp,Marlins,2006,34,435179
Joel Zumaya,rhp,Tigers,2006,35,451491
Mike Pelfrey,rhp,Mets,2006,36,460059
Jonathan Papelbon,rhp,Red Sox,2006,37,449097
Homer Bailey,rhp,Reds,2006,38,456701
Philip Hughes,rhp,Yankees,2006,39,461833
Anibal Sanchez,rhp,Marlins,2006,40,434671
Anthony Reyes,rhp,Cardinals,2006,41,435039
Russell Martin,c,Dodgers,2006,42,431145
Neil Walker,c,Pirates,2006,43,435522
Mark Rogers,rhp,Brewers,2006,44,449161
Adam Loewen,lhp,Orioles,2006,45,429400
Erick Aybar,ss,Angels,2006,46,430947
Adam Miller,rhp,Indians,2006,47,449089
Dustin Mcgowan,rhp,Blue Jays,2006,48,430661
Ryan Braun,3b,Brewers,2006,49,460075
Andrew Mccutchen,of,Pirates,2006,50,457705
Brian Anderson,of,White Sox,2006,51,435042
Jason Hirsh,rhp,Astros,2006,52,444865
Jeremy Sowers,lhp,Indians,2006,53,460265
Craig Hansen,rhp,Red Sox,2006,54,475022
Scott Elbert,lhp,Dodgers,2006,55,455092
Edison Volquez,rhp,Rangers,2006,56,450172
Jered Weaver,rhp,Angels,2006,57,450308
Jason Kubel,of,Twins,2006,58,430585
John Danks,lhp,Rangers,2006,59,433579
Jeff Mathis,c,Angels,2006,60,425772
Elvis Andrus,ss,Braves,2006,61,462101
Troy Patton,lhp,Astros,2006,62,461856
Jonathan Broxton,rhp,Dodgers,2006,63,455009
Adam Jones,of/ss,Mariners,2006,64,430945
Marcus Sanders,ss/2b,Giants,2006,65,448773
Kenji Johjima,c,Mariners,2006,66,492706
Dustin Nippert,rhp,Diamondbacks,2006,67,430962
Cole Hamels,lhp,Phillies,2006,68,430935
Yusmeiro Petit,rhp,Marlins,2006,69,433589
Jeff Niemann,rhp,Devil Rays,2006,70,435298
Brad Snyder,of,Indians,2006,71,430957
Thomas Diamond,rhp,Rangers,2006,72,435080
Gio Gonzalez,lhp,Phillies,2006,73,461829
Javier Herrera,of,Athletics,2006,74,464268
Matt Moses,3b,Twins,2006,75,456420
Jay Bruce,of,Reds,2006,76,457803
Dustin Pedroia,2b/ss,Red Sox,2006,77,456030
Kendry Morales,1b,Angels,2006,78,434778
Jason Hammel,rhp,Devil Rays,2006,79,434628
Josh Johnson,rhp,Marlins,2006,80,435178
Hayden Penn,rhp,Orioles,2006,81,435140
Blake Dewitt,3b,Dodgers,2006,82,455088
Cliff Pennington,ss,Athletics,2006,83,460060
Justin Huber,1b,Royals,2006,84,408311
Mark Pawelek,lhp,Cubs,2006,85,476263
Eric Duncan,3b/1b,Yankees,2006,86,449080
Ricky Romero,lhp,Blue Jays,2006,87,460069
Cesar Carrillo,rhp,Padres,2006,88,460044
Andre Ethier,of,Dodgers,2006,89,444843
Nick Adenhart,rhp,Angels,2006,90,444440
Glen Perkins,lhp,Twins,2006,91,450282
Ryan Sweeney,of,White Sox,2006,92,435220
Anthony Lerew,rhp,Braves,2006,93,434679
Ronny Cedeno,ss,Cubs,2006,94,430592
Tom Gorzelanny,lhp,Pirates,2006,95,452733
Matt Kemp,of,Dodgers,2006,96,461314
Chris Volstad,rhp,Marlins,2006,97,458690
Chuck James,lhp,Braves,2006,98,460580
Nolan Reimold,of,Orioles,2006,99,460099
Anthony Swarzak,rhp,Twins,2006,100,461872
Joe Mauer,c,Twins,2005,1,408045
Felix Hernandez,rhp,Mariners,2005,2,433587
Delmon Young,of,Devil Rays,2005,3,430321
Ian Stewart,3b,Rockies,2005,4,456655
Joel Guzman,ss,Dodgers,2005,5,433591
Casey Kotchman,1b,Angels,2005,6,425773
Scott Kazmir,lhp,Devil Rays,2005,7,431148
Rickie Weeks,2b,Brewers,2005,8,430001
Andy Marte,3b,Braves,2005,9,429708
Hanley Ramirez,ss,Red Sox,2005,10,434670
Lastings Milledge,of,Mets,2005,11,451186
Dallas Mcpherson,3b,Angels,2005,12,425774
Matt Cain,rhp,Giants,2005,13,430912
Jeff Francoeur,of,Braves,2005,14,425796
Prince Fielder,1b,Brewers,2005,15,425902
Adam Miller,rhp,Indians,2005,16,449089
Jason Kubel,of,Twins,2005,17,430585
Jeremy Hermida,of,Marlins,2005,18,435181
Chad Billingsley,rhp,Dodgers,2005,19,451532
Jeff Niemann,rhp,Devil Rays,2005,20,435298
Brian Dopirak,1b,Cubs,2005,21,460590
Carlos Quentin,of,Diamondbacks,2005,22,435041
Jeff Francis,lhp,Rockies,2005,23,433585
Nick Swisher,of,Athletics,2005,24,430897
Jose Capellan,rhp,Brewers,2005,25,430642
Chris Nelson,ss,Rockies,2005,26,455126
Ryan Howard,1b,Phillies,2005,27,429667
J.J. Hardy,ss,Brewers,2005,28,429666
Mike Hinckley,lhp,Nationals,2005,29,434479
Edwin Jackson,rhp,Dodgers,2005,30,429719
Felix Pie,of,Cubs,2005,31,429712
Daric Barton,1b,Athletics,2005,32,435558
Jeremy Reed,of,Mariners,2005,33,430598
Zach Duke,lhp,Pirates,2005,34,435043
Gavin Floyd,rhp,Phillies,2005,35,425856
Eric Duncan,3b,Yankees,2005,36,449080
Brian Anderson,of,White Sox,2005,37,435042
Scott Olsen,lhp,Marlins,2005,38,435179
Erick Aybar,ss,Angels,2005,39,430947
Conor Jackson,of,Diamondbacks,2005,40,433582
Michael Aubrey,1b,Indians,2005,41,430956
Ryan Sweeney,of,White Sox,2005,42,435220
Dan Meyer,lhp,Athletics,2005,43,119009
Brian Mccann,c,Braves,2005,44,435263
Josh Barfield,2b,Padres,2005,45,429662
Yusmeiro Petit,rhp,Mets,2005,46,433589
Anthony Reyes,rhp,Cardinals,2005,47,435039
Homer Bailey,rhp,Reds,2005,48,456701
Brandon Mccarthy,rhp,White Sox,2005,49,435221
Philip Humber,rhp,Mets,2005,50,458950
Shin-Soo Choo,of,Mariners,2005,51,425783
Thomas Diamond,rhp,Rangers,2005,52,435080
Kyle Davies,rhp,Braves,2005,53,434678
Franklin Gutierrez,of,Indians,2005,54,429711
Mark Rogers,rhp,Brewers,2005,55,449161
Edwin Encarnacion,3b,Reds,2005,56,429665
Curtis Granderson,of,Tigers,2005,57,434158
Merkin Valdez,rhp,Giants,2005,58,429723
John Danks,lhp,Rangers,2005,59,433579
Chris Burke,2b,Astros,2005,60,429663
Sergio Santos,ss,Diamondbacks,2005,61,435045
James Loney,1b,Dodgers,2005,62,425766
Jesse Crain,rhp,Twins,2005,63,430884
Aaron Hill,ss,Blue Jays,2005,64,431094
Nick Markakis,of,Orioles,2005,65,455976
Ryan Harvey,of,Cubs,2005,66,458243
Jeff Mathis,c,Angels,2005,67,425772
Javier Herrera,of,Athletics,2005,68,464268
Brandon League,rhp,Blue Jays,2005,69,434181
J.D. Durbin,rhp,Twins,2005,70,429716
Cole Hamels,lhp,Phillies,2005,71,430935
Brandon Moss,of,Red Sox,2005,72,461235
Clint Nageotte,rhp,Mariners,2005,73,425788
Andy Laroche,3b,Dodgers,2005,74,451188
Billy Butler,3b,Royals,2005,75,456714
Kendry Morales,of,Angels,2005,76,434778
Joaquin Arias,ss,Rangers,2005,77,435078
Fred Lewis,of,Giants,2005,78,117733
Guillermo Quiroz,c,Blue Jays,2005,79,425565
Ezequiel Astacio,rhp,Astros,2005,80,430586
Neil Walker,c,Pirates,2005,81,435522
Ubaldo Jimenez,rhp,Rockies,2005,82,434622
Brandon Wood,ss,Angels,2005,83,457420
Brad Snyder,of,Indians,2005,84,430957
Mark Teahen,3b,Royals,2005,85,433597
Kyle Sleeth,rhp,Tigers,2005,86,433580
Joey Gathright,of,Devil Rays,2005,87,431157
Angel Guzman,rhp,Cubs,2005,88,425768
Russell Martin,c,Dodgers,2005,89,431145
Jeremy Sowers,lhp,Indians,2005,90,460265
Jon Papelbon,rhp,Red Sox,2005,91,449097
Jake Stevens,lhp,Braves,2005,92,457466
Richie Gardner,rhp,Reds,2005,93,451200
Hayden Penn,rhp,Orioles,2005,94,435140
Josh Fields,3b,White Sox,2005,95,435222
Tadahito Iguchi,2b,White Sox,2005,96,435338
Huston Street,rhp,Athletics,2005,97,434718
Ian Kinsler,ss,Rangers,2005,98,435079
Anthony Lerew,rhp,Braves,2005,99,434679
Greg Miller,lhp,Dodgers,2005,100,431141
Joe Mauer,c,Twins,2004,1,408045
Upton,ss,Devil Rays,2004,2,425834
Delmon Young,of,Devil Rays,2004,3,430321
Edwin Jackson,rhp,Dodgers,2004,4,429719
Rickie Weeks,2b,Brewers,2004,5,430001
Alexis Rios,of,Blue Jays,2004,6,425567
Kazuo Matsui,ss,Mets,2004,7,430565
Greg Miller,lhp,Dodgers,2004,8,431141
Grady Sizemore,of,Indians,2004,9,429713
Prince Fielder,1b,Brewers,2004,10,425902
Andy Marte,3b,Braves,2004,11,429708
Scott Kazmir,lhp,Mets,2004,12,431148
Adam Loewen,lhp,Orioles,2004,13,429400
Zack Greinke,rhp,Royals,2004,14,425844
Casey Kotchman,1b,Angels,2004,15,425773
Justin Morneau,1b,Twins,2004,16,408047
Cole Hamels,lhp,Phillies,2004,17,430935
Dustin Mcgowan,rhp,Blue Jays,2004,18,430661
J.J. Hardy,ss,Brewers,2004,19,429666
Josh Barfield,2b,Padres,2004,20,429662
David Wright,3b,Mets,2004,21,431151
Jeff Mathis,c,Angels,2004,22,425772
Gavin Floyd,rhp,Phillies,2004,23,425856
Chin-Hui Tsao,rhp,Rockies,2004,24,425835
Jeremy Reed,of,White Sox,2004,25,430598
Angel Guzman,rhp,Cubs,2004,26,425768
Jeff Francoeur,of,Braves,2004,27,425796
Jeremy Hermida,of,Marlins,2004,28,435181
Ervin Santana,rhp,Angels,2004,29,429722
Felix Hernandez,rhp,Mariners,2004,30,433587
Franklin Gutierrez,of,Dodgers,2004,31,429711
Bobby Crosby,ss,Athletics,2004,32,425853
Dallas Mcpherson,3b,Angels,2004,33,425774
Scott Hairston,2b,Diamondbacks,2004,34,430668
Guillermo Quiroz,c,Blue Jays,2004,35,425565
Kyle Sleeth,rhp,Tigers,2004,36,433580
Sergio Santos,ss,Diamondbacks,2004,37,435045
Johnvan Benschoten,rhp,Pirates,2004,38,429724
Hanley Ramirez,ss,Red Sox,2004,39,434670
Merkin Valdez,rhp,Giants,2004,40,429723
Dioner Navarro,c,Yankees,2004,41,425900
James Loney,1b,Dodgers,2004,42,425766
Joe Blanton,rhp,Athletics,2004,43,430599
Jeff Allison,rhp,Marlins,2004,44,456414
Clint Nageotte,rhp,Mariners,2004,45,425788
Ryan Wagner,rhp,Reds,2004,46,429842
Blake Hawksworth,rhp,Cardinals,2004,47,458003
Brad Nelson,of/1b,Brewers,2004,48,434525
Adam Wainwright,rhp,Cardinals,2004,49,425794
Taylor Buchholz,rhp,Astros,2004,50,430587
